#List
abase v.降低···的地位，贬抑，使卑下
abash v.使害羞，使尴尬
abate v.减轻，减少
abdicate v.退位，辞职，放弃
abhorrent a.可恨的，讨厌的
abject a.极可怜的 卑下的
abjure v.发誓放弃
abnegate v.否认，放弃
abnegation n.放弃，自我牺牲
abolish v.废止，废除(法律、制度、习俗等)
abominate v.痛恨；厌恶
abortive a.无结果的，失败的
abound v.大量存在；充满，富于
aboveboard a./adv.光明正大的(地)
abrade v.磨损，磨小
abrogate v.废止，废除
abscond v.潜逃，逃亡
absolve v.赦免，免除
abstemious a.有节制的，节俭的(eating & drinking)
abstention n.戒除，弃权
abstentious a.有节制的
abstinent a.饮食有度的，有节制的，禁欲的
abuse v./n.辱骂 滥用
abusive a.漫骂的；毁谤的；虐待的
acarpous a.不结果实的
accessory adj.附属的，次要的
acclaim v.欢呼，称赞
acclimate v.使服水土 使适应
accolade n.推崇；赞扬
accomplished a.完成了的；有技巧的，有造诣的
accost v.搭话
accountability n.负有责任
accrete v.逐渐增长；添加生长；连生
accrue v.(利息等)增大；增多
accumulate v.积聚，积累(collect)
accurate a.精确的，准确的
acedia n.无精打采的样子；懒惰
acquiesce v.勉强同意，默许
acquit v.宣告无罪；脱卸义务和责任；还清(债务)
acrid a.辛辣的，刻薄的
acrobat n.特技演员，杂技演员
acuity n.(尤指思想或感官)敏锐
acumen n.敏锐，精明,聪明
adapt v.使…适应；修改
additive n.添加剂
addle v.使腐坏；使混乱
adduce v.给予（理由）；举出（例证）
adherent n.拥护者，信徒
adjourn v.使延期，推迟；休会
adjudicate v.充当裁判；判决
adjunct n.附加物，附件
adolescent a.青春期的；n.青少年
adroit a.熟练的，灵巧的
adulate v.谄媚，奉承
adulterate v.掺假
advent n.到来，来临
adventitious a.偶然的
advert v.注意，留意；提及
advisable adj.适当的，可取的
aerate v.充气，让空气进入
aerial a.空中的，空气中的
affected a.不自然的；假装的
affiliate v.加入；联合
affiliation n.联系，联合
affix v.粘上，贴上；在合同上添写某事物；n.词缀
affliction n.悲痛，受难的起因
aftermath n.后果，余波
agape a./adv. （嘴）大张着的
agenda n.议程
aggregate v.集合；合计
aggrieve v.使受委屈；使痛苦
agile a.敏捷的，灵活的
agitated a.被鼓动的；不安的
agnostic a.不可知论的
agog a.兴奋的，有强烈兴趣的
agreeable a.令人喜悦的；欣然同意的
ague n.冷颤，发冷
ail v.生病
airtight a.密闭的，不透气的
albeit conj. 虽然，尽管
aleatory a.侥幸的，偶然的
alert a.警惕的，机警的 n.警报
allay v.减轻，缓和
allergic a.过敏的；对…讨厌的
alleviate v.缓和，减轻
allocate v.配给，分配
allowance n.津贴，补助；承认，允许
alluring a.吸引人的，迷人的
amalgamate v.合并；混合
amass v.积聚
ambience n.环境，气氛
ambush v.埋伏；伏击
amiable a.（人自身性格）和蔼的，亲切的
amity n.(人或国之间的)友好关系
amnesia n.健忘症
amnesty n.大赦，特赦
ample a.富足的；充足的
amplify v.放大；详述
amuse v.使愉快，逗某人笑
analgesia n.无痛觉，痛觉丧失
analogy n.相似；类比
ancillary a.辅助的；n.助手
anesthetic n.麻醉剂；a.麻醉的
anguish n.极大痛苦
animadvert v.苛责，非难
animate a.活的，有生命的；v.赋予生命
animation n.活泼，有生气；卡通制作
animus n.敌意，憎恨
anneal v.使（金属、玻璃等）退火；使加强，使变硬
annihilate v.消灭
announce v.宣布，发表；通报…的到来
annoy v.惹恼；打搅，骚扰
annul v.宣告无效；取消
anonymity n.无名，匿名
antecedence n.居先，优先
anthem n.圣歌；赞美歌，国歌
antic a.古怪的
anticipate v.预期，期待
anvil n.铁砧
aplomb n.沉着，镇静
apocryphal a.假冒的，虚假的
apologize v.道歉；辩解
apostate n.背教者；变节者
appeal v.恳求；吸引；上诉
applicant n.申请人
appoint v.任命，指定；约会
appraise v.评价，鉴定
apprentice n.学徒
apron n.围裙
apt a.易于…的；恰当的；聪明的
aquiline a.鹰的，似鹰的
arbitrate v.仲裁，公断
archer n.(运动或战争中的)弓箭手，射手
ardent a.热心的，热烈的
aristocracy n.贵族；贵族政府，贵族统治
aroma n.芳香，香气
arouse v.唤醒；激发
arraign v.传讯；指责
arrant a.完全的，彻底的；极坏的，臭名昭著的
array v.部署；n.陈列；大批
arrest v.依法逮捕；阻止，抑制
arson n.纵火，放火
artifact n.人工制品
artifice n.巧办法；诡计
artificial a.人造的，假的
ashen a.灰色的，苍白的
asinine a.愚笨的
askance adv.斜视地
askew a./adv.歪斜的
aspersion n.诽谤，中伤
aspirant n.有抱负者
aspire v.向往，有志于
assault n.突然袭击；猛袭
assemble v.集合，聚集；装配
#List
assent v.同意，赞成
assert v.断言，主张
assess v.确定，评定；估计…的质量
associate a.联合的；n.合伙人；v.将人或事物联系起来
assoil v.赦免，释放，补偿
assuage v.缓和，减轻
asterisk n.星号
asteroid n.小行星
astrology n.占星术；占星学
atheism n.无神论，不信神
atonal a.(音乐)无调的
atone v.赎罪，补偿
atrocious adj.残忍的，凶残的
attach v.将某物系在(另一物)上
attenuate v.变薄；减弱
attire v.使穿衣；打扮 n.盛装，服装
augury n.预言，征兆，占卜
august a.威严的，高贵的
austerity n.朴素，艰苦
authorization n.授权，认可
autocracy n.独裁政府
autocrat n.独裁者
automation n.自动装置
auxiliary a.辅助的，协助的
aver v.极力声明；断言；确证
aversion n.嫌恶，反感
avert v.避免，防止；避开
avocation n.副业；嗜好
avow v.承认；公开宣称
awry a.扭曲的，走样的
azure n.天蓝色 a.蔚蓝的
backdrop n.(事情的)背景；背景幕布
backset n.倒退
backslide v.故态复萌
badge n.徽章(如校徽等)
badger n.獾；v.一再烦扰，一再要求
badinage n.开玩笑，打趣
bait n.诱饵；v.逗弄；激怒
balderdash n.胡言乱语，废话
bale n.大包裹；灾祸，不幸
ballot n./v.投票
ballyhoo n.喧闹，呐喊 v.大肆宣传，大吹大擂
bamboozle v.欺骗，隐瞒
ban n.禁令
bar v.禁止，阻挡；n.条，棒；酒吧
bare v.暴露；a.赤裸的
barefaced a.厚颜无耻的，公然的
bargain n.交易
barn n.谷仓
barrister n.出庭律师，律师
barter v.易货贸易
bawl v.大叫，大喊
bazaar n.集市，商店集中区
beacon n.烽火；灯塔
beam n.(房屋等)大梁；光线
bearing n.关系，意义；方位
beatific a.幸福的，快乐的
beckon v.召唤，示意
bedraggled a.弄湿的；凌乱不堪的
befoul v.弄脏，诽谤
befuddle v.使迷惑不解，使酒醉昏迷
beget v.产生，引起
begrudge v.吝啬，勉强给
behold v.注视，看见
beholden a.感谢；欠人情
behoove v.理应，有义务
belabor v.过分冗长地做或说；痛打
belligerence n.交战；好战性，斗争性
bellow v.咆哮，吼叫
belongings n.所有物，财产
bemused a.茫然的，困惑的
berate v.猛烈责骂
berserk a.狂怒的，狂暴的
beseech v.恳求
besmirch v.诽谤
besot v.使沉醉，使糊涂
betoken v.预示，表示
bewildering a.令人迷惑的；费解的
bicker v.为小事争吵
bid v.命令；出价，投标
bide v.等待，逗留
bifurcate v.分为两支，分叉
bigot n.(宗教、政治等的)盲信者；心胸狭窄者
bile n.胆汁；愤怒
bilk v.躲债；骗取
bin n.大箱子
blackball v.投票反对；排斥
blade n.刀锋，刀口
blanch v.使变白；使(脸色)变苍白
blandishment n.奉承，讨好
blare v.高声发出
blase a.厌倦享乐的，玩厌了得
blasphemy n.亵渎，渎神
blather v.喋喋不休地胡说，唠叨
bleak a.寒冷的；阴沉的；阴郁的，暗淡的
blear v.使模糊 a.模糊的
bleary adj.视线模糊的，朦胧的
blemish v.损害；玷污；n.瑕疵，缺点
bliss n.狂喜；福佑，天赐的福
bloated a.肿胀的；傲慢的
blockade v./n.封锁
blockage n.障碍物
blooming a.有花的；精力旺盛的
blossom n.花 v.（植物）开花
blunt a.钝的；直率的；v.变钝
boast v./n.自夸
bob v.轻拍，轻叩；使上下快速摆动
bode v.预示
boding n.凶兆，前兆，预感 a.凶兆的，先兆的
boggle v.犹豫；退缩
bogus a.假装的，假的
bombast n.高调，夸大之辞
bondage n.奴役，束缚
bonhomie n.好性情，和蔼
bonny a.健美的，漂亮的
boo v.发出嘘声
boom n.繁荣昌盛时期；v.发出深沉有回响的声音
boor n.举止粗野的人；乡下人
boreal a.北方的，北风的
boring a.无趣的，乏味的
bouffant a.蓬松的；鼓胀的
bough n.大树枝
boulder n.巨砾
bouncing a.活泼的；健康的
bounteous a.慷慨的；丰富的
bouquet n.花束；芳香
bovine a.（似）牛的；迟钝的
bowdlerize v.删除，删改
brace v.支撑，加固；n.支撑物
bracelet n.手镯，臂镯
bracing a.令人振奋的
brackish a.微咸的；难吃的
brag v.吹嘘
braise v.炖，蒸
brake n.刹车；v.减速，阻止
brat n.孩子；顽童
brattish a.(指小孩）讨厌的，被宠坏的，无礼的
bray v.大声而刺耳地发出(叫唤或声音）
brew v.酿酒；沏，煮咖啡；酝酿，即将发生
bribe v.贿赂
bricklayer n.砌砖盖房者，泥瓦匠
bridle n.马笼头，马缰；v.抑制，控制
brisk a.敏捷的，活泼的；清新健康的
bristling a.竖立的
brittle a.易碎的，脆弱的
brochure n.小册子，说明书
bromide n.平庸的人或话；溴化物
browbeat v.欺侮；吓唬
browse v.吃草；浏览 n.嫩叶；嫩芽
bruise v.受伤，擦伤
bruit v.散布(谣言)
brusque a.唐突的，鲁莽的
brutal a.残忍的；严酷的
buck v.反对；n.雄鹿；雄兔
bucolic a.乡村的；牧羊的
budget n.预算
buffer v.缓冲，减轻
buffet v.反复敲击；连续打击
buffoon n.演出时的丑角；粗俗而愚蠢的人
#List
bulge n./v.膨胀，鼓起
bullion n.金条，银条
bully v.以强欺弱，威胁；n.欺负别人者
bumble v.说哈含糊；拙劣地做
bump v.碰撞 n.碰撞声
bumptious a.傲慢的，自夸的
bungle v.笨拙的做
buoy n.浮标；救生圈；v.鼓励，支持
burial n.埋葬，埋藏
burlesque n.讽刺或滑稽的戏剧
burnish v.擦亮，磨光
burrow v.挖掘，钻进，翻寻 n.地洞
bust n.半身(雕)像
bustle v.奔忙，忙乱 n.喧闹，熙熙攘攘
butt v.用头抵撞，顶撞；n.粗大的一端；烟蒂
buxom a.体态丰满的
byline n.(列作者名字的)报刊文章开头或结尾
cacophony n.难听的声音
cadence n.抑扬顿挫；节奏，韵律
cadet n.军校或警官学校的学生
cadge v.乞讨；占便宜
cajole v.(以甜言蜜语)哄骗
calibrate v.量…口径；精确校准
callow a.（鸟)未生羽毛的 ；（人）未成熟的
calorie n.卡路里；卡(热量单位)
calumniate v.诽谤，中伤
cameo n.浮雕宝石；生动刻画；(演员)出演
camouflage n./v.掩饰，伪装
canard n.谣言，假新闻
canary n.金丝雀；女歌星
candidacy n.候选人的资格
canon n.真作,圣典
canonical a.（教会）符合规定的，经典的
canopy n.蚊帐，华盖
canorous a.音调优美的，有旋律的
canvass v.细查；拉选票
canyon n.峡谷
capacious adj.容量大的，宽敞的
caper n.雀跃，跳跃 v.跳跃
caprice n.奇思妙想，反复无常，人性
capsule n.荚膜，蒴果；胶囊
caption n.标题
captivate v.迷惑，吸引
carbohydrate n.碳水化合物
cardiologist n.心脏病专家
careen v.（船）倾斜；使倾斜
caress n.爱抚，抚摸；v.爱抚或抚摸某人
careworn a.忧心忡忡的，饱经忧患的
cargo n.(船、飞机等装载的)货物
carouse n.狂饮寻乐晚会
carp n.鲤鱼；v.吹毛求疵
carpenter n.木匠
carrion n.腐肉
cartoon n.漫画
casual a.偶然的
catalog n.目录；系列
catharsis n.宣泄；情感(受艺术作用而起的)净化
catholic a.普遍的；广泛的；(人)宽厚的
caucus n.政党高层会议
caudal a.尾部的，像尾部的
caulk v.填塞(隙缝使不漏水)
cauterize v.(用腐蚀性物质或烙铁)烧灼(表皮组织)以消毒或止血
cavalry n.骑兵部队，装甲部队
cavort v.腾越，欢跃
cede v.割让(土地权利)，放弃
celebrated a.有名的，知名的
celebrity n.名声；知名人士
celerity n.快速，迅速
cello n.大提琴
cement n.水泥；胶粘剂；v.粘合，巩固
centrifugal a.离心的
centripetal a.向心的
cephalic a.头的，头部的
ceremony n.典礼，仪式
certification n.证明
cession n.割让，转让
chaffing a.玩笑的，嘲弄的
chameleon n.变色龙，蜥蜴；善变之人
chandelier n.枝形吊灯(烛台)
chant n.圣歌；v.歌唱或背诵
chaos n.混乱
char v.烧焦；使…燃烧成焦炭
characterization n.描绘，刻画
charade n.用动作等表演文字意义的字谜游戏
charisma n.(大众爱戴的)领袖气质；魅力
charity n.仁慈；施舍
charm n.魅力；咒语，咒符；v.吸引，迷住
chase v.雕镂；追捕
chaste a.贞洁的；朴实的
chasten v.（通过惩罚而使坏习惯等）改正；磨练
chastise v.（严惩）责打，体罚；谴责
chauvinistic a.沙文主义的，过分爱国主义的
checkered a.多变的
cheeky a.无礼的，厚颜无耻的
cherubic a.天使的，无邪的，可爱的
chic a.漂亮的，时髦的
chicanery n.欺诈，欺骗
chide v.叱责，指责
chimera n.神话怪物；不可能实现的梦幻
