integer	整数
consecutive integer	连续整数
positive whole integer	正整数
negative whole integer	负整数
even integer	偶数
odd integer	奇数
real number	实数
divisor	除数，约数，因子
multiple	倍数
remainder	余数
composite number	合数
quotient	商
prime number	质数
prime factor	质因数
successive	连续的
spread	范围
score	二十
consecutive	连续的
constant	恒定不变的
#List
numerator	分子
denominator	分母
greatest common divisor/factor	最大公约数
least common multiple	最小公倍数
common multiple	公倍数
common factor	公因子
reciprocal/inverse	倒数
mixed number	带分数
improper fraction	假分数
proper fraction	真分数
vulgar/common fraction	普通分数
simple fraction	简分数
complex fraction	繁分数
reversible	可逆的
nearest whole percent	最接近的百分数
#List
decimal place	小数位
decimal point	小数点
decimal fraction	纯小数
infinite decimal	无穷小数
recurring decimal	循环小数
digit	位
decimal system	十进制
units digit	个位数
tens digit	十位数
tenths unit	十分位
3-digit number	三位数
quartiles	四分位数
percentiles	百分位数
interquartile range	四分位差
negligible	可忽略不计的
closest appoximation	最相近似的
calculate to three decimal places	结果保留3位小数
approximately	近似，大约
estimation	估算，近似
#List
absolute value	绝对值
nonzero number	非零数
natural number	自然数
positive number	正数
negative number	负数
nonnegative	非负的
rational	有理数
irrantional number	无理数
#List
common ratio	公比
direct proportion	正比
percent	百分比
account for	占（比例）
scatterplot	点阵图
scale	比例，刻度
#List
cardinal	基数
ordinal	序数
exponent	指数，幂
base/power	底数/指数，幂
radical/root sign	根号
radicals	根式
square root	平方根
cube root	立方根
product	乘积
common logarithm	常用对数
#List
subset	子集
proper subset	真子集
union	合集，并集
intersection	交集
empty set	空集
solution set	解集
set of data/data set	数据集
sets	集合
nonempty	非空的
mutually exclusive	互斥的
juxtaposition	并列
disjoint	不相交的
elements	元素
event	事件
compound events	复合事件
independent events	相互独立事件
sufficient	充分的
the sum/total of A and B	A与B的和
the union of A and B	A与B的并集
the intersection of A and B	A与B的交集
Venn diagrams	韦恩图
#List
average	平均数
mean	平均值，平均数，中数
maximum	最大值
minimum	最小值
median	中数，中线，中线，中值
mode	众数
weighed average	加权平均值
arithmetic mean	算术平均数
weighted mean	加权平均数
geometric mean	几何平均数
range	值域
dispersion	差量，离差
standard deviation	标准方差
to the nearest/round to	四舍五入
round	保留整数，四舍五入
value	值，数值
probability	概率
distribution	（频数或频率）分布
probability distribution	概率分布
frequency distribution	频率分布
nomal distribution	正态分布
relative frequency distributions	相关频率分布
standard normal distribution	标准正态分布
factorial notation	阶乘
permutation (arrangement)	排列 A = n!/(n-m)!
combination	组合 C = n!/m!(n-m)!
grid lines	坐标线，网格线
circle graphs	饼图
boxplots	箱形图
bar graphs/histogam	柱状图，直方图
at random	随机
random variables	随机变量
discrete randon variable	离散随机变量
continuous random variable	连续随机变量
equally likely event	等可能事件
roll a fair die	掷骰子
heads up	正面朝上，头朝上
tails up	背面朝上，数字朝上
toss up	掷硬币，（胜败）机会相等
#List
add/plus	加
subtract/minus	减
multiplication	乘
multiply/times	乘
divide	除
difference	差
sum	和
is equal to	等于
total	总数，总计
divisible	可被整除的
division	除，部分
divided evenly	被整除
dividend	被除数
the difference of A and B	A与B的差
the product of A and B	A与B的乘积
prime factorization	质因数分解
less than	小于
greater than	大于
no less than	大于等于
no more than	小于等于
no solution	无解
interval	区间，间隔
invert	倒置，颠倒
inverse	倒数
invert a fraction	求分数的倒数
from subtract	从...减...
in equivalent to	与...相等
increase by	增加了
increase to	增加到
decrease by	减少了
decrease to	减少到
identical	相等的
divisibility	可约性，可除性
#List
coefficient	系数
literal coefficient	字母系数
numerical coefficient	数字系数
term	项
constant term	常数项
quadratic	二次方程
equivalent equation	同解方程，等价方程
linear equation	线性方程
solution	（方程组的）解
inequality	不等式
expression	表达式
equation	方程式，等式
linear  	一次的，线性的
factorization	因数分解
function	函数
inverse function	反函数
trigonometric function	三角函数
complementary function	余函数
variable/variations	变量
domain	定义域
sequence	数列
sequences  of number	数列
geometric progression	等比数列
arithmetic procession	等差数列
parentheses	括号
satisfy	使...成立
equivalent	相等的
#List
a line segment	线段
midpoint	中点
endpoint	端点
right angle	直角
perpendicular	垂线
perpendicular lines	垂直线
perpendicular bisector	垂直平分线
parallel lines	平行线
bisect	平分
partition	分割，分开
intercepts	截取
#List
acute angle	锐角
obtuse angle	钝角
opposite angles	对角
vertical angle	对顶角
vertex angle	顶角
round angle	周角
straight angle	平角
included angle	夹角
alternate angle	内错角
interior angle	内角
central angle	圆心角
exterior angle	外角
supplementary angles	补角
complementary angles	余角
adjacent angle	邻角
a straight line	直线
angle bisector	角平分线
diagonal	对角线
intersect	相交
angle measurement in degrees	角度计算
#List
altitude	（三角形的）高
arm	直角三角形的股
equilateral triangle	等边三角形
hypotenuse	斜边，直角三角形的斜边，弦
inscribed triangle	内接三角形
vertex	（三角形等）顶角，顶点
isosceles triangles	等腰三角形
median of a triangle	三角形的中线
oblique	斜三角形
opposite	直角三角形中的对边
right triangle	直角三角形
